⚡ HETERO GROUP (CPU+GPU) 6-HOUR BURN STARTED
PID: 1502812
Time: 1772967296
Architecture: CPU(GridWorld+Curiosity+Rhythm) + GPU(SNN)
✅ GPU Layer Initialized
✅ CPU Layer Initialized
[3h40m] Steps: 1283177, Energy: 0.22, Reward: 15285.70
[3h41m] Steps: 1289009, Energy: 0.21, Reward: 15354.04
[3h42m] Steps: 1294837, Energy: 0.21, Reward: 15422.34
[3h43m] Steps: 1300668, Energy: 0.20, Reward: 15490.67
[3h44m] Steps: 1306497, Energy: 0.19, Reward: 15558.98
[3h45m] Steps: 1312333, Energy: 0.19, Reward: 15627.37
[3h46m] Steps: 1318163, Energy: 0.18, Reward: 15695.69
[3h47m] Steps: 1323932, Energy: 0.17, Reward: 15763.29
[3h48m] Steps: 1329767, Energy: 0.17, Reward: 15831.67
[3h49m] Steps: 1335603, Energy: 0.16, Reward: 15900.06
[3h50m] Steps: 1341444, Energy: 0.16, Reward: 15968.51
[3h51m] Steps: 1347283, Energy: 0.15, Reward: 16036.94
[3h52m] Steps: 1353116, Energy: 0.14, Reward: 16105.29
[3h53m] Steps: 1358956, Energy: 0.14, Reward: 16173.73
[3h54m] Steps: 1364782, Energy: 0.13, Reward: 16242.00
[3h55m] Steps: 1370611, Energy: 0.13, Reward: 16310.31
[3h56m] Steps: 1376443, Energy: 0.12, Reward: 16378.66
[3h57m] Steps: 1382280, Energy: 0.11, Reward: 16447.06
[3h58m] Steps: 1388116, Energy: 0.11, Reward: 16515.45
[3h59m] Steps: 1393957, Energy: 0.10, Reward: 16583.90
[4h0m] Steps: 1399800, Energy: 0.10, Reward: 16652.37
[4h1m] Steps: 1405639, Energy: 0.09, Reward: 16720.80
[4h2m] Steps: 1411476, Energy: 0.09, Reward: 16789.20
[4h3m] Steps: 1417313, Energy: 0.08, Reward: 16857.60
[4h4m] Steps: 1423149, Energy: 0.08, Reward: 16925.99
[4h5m] Steps: 1428988, Energy: 0.08, Reward: 16994.42
[4h6m] Steps: 1434825, Energy: 0.07, Reward: 17062.82
[4h7m] Steps: 1440656, Energy: 0.07, Reward: 17131.15
[4h8m] Steps: 1446493, Energy: 0.06, Reward: 17199.55
[4h9m] Steps: 1452334, Energy: 0.06, Reward: 17268.00
[4h10m] Steps: 1458179, Energy: 0.05, Reward: 17336.50
[4h11m] Steps: 1464024, Energy: 0.05, Reward: 17405.00
[4h12m] Steps: 1469860, Energy: 0.05, Reward: 17473.39
[4h13m] Steps: 1475697, Energy: 0.04, Reward: 17541.79
[4h14m] Steps: 1481530, Energy: 0.04, Reward: 17610.14
[4h15m] Steps: 1487364, Energy: 0.04, Reward: 17678.51
[4h16m] Steps: 1493200, Energy: 0.03, Reward: 17746.90
[4h17m] Steps: 1499039, Energy: 0.03, Reward: 17815.33
[4h18m] Steps: 1504875, Energy: 0.03, Reward: 17883.72
[4h19m] Steps: 1510711, Energy: 0.03, Reward: 17952.11
[4h20m] Steps: 1516550, Energy: 0.02, Reward: 18020.54
[4h21m] Steps: 1522389, Energy: 0.02, Reward: 18088.96
[4h22m] Steps: 1528226, Energy: 0.02, Reward: 18157.36
[4h23m] Steps: 1534064, Energy: 0.02, Reward: 18225.78
[4h24m] Steps: 1539904, Energy: 0.01, Reward: 18294.21
[4h25m] Steps: 1545738, Energy: 0.01, Reward: 18362.58
[4h26m] Steps: 1551575, Energy: 0.01, Reward: 18430.98
[4h27m] Steps: 1557408, Energy: 0.01, Reward: 18499.34
[4h28m] Steps: 1563243, Energy: 0.01, Reward: 18567.72
[4h29m] Steps: 1569075, Energy: 0.01, Reward: 18636.06
[4h30m] Steps: 1574905, Energy: 0.00, Reward: 18704.38
[4h31m] Steps: 1580740, Energy: 0.00, Reward: 18772.76
[4h32m] Steps: 1586570, Energy: 0.00, Reward: 18841.08
[4h33m] Steps: 1592410, Energy: 0.00, Reward: 18909.52
